Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,SDOH,SDOH_ID,SDOH_Cat,SDOH_Cat_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret,N,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Nunavut,6201,adults aged 18+ years,1,females,3,Education (household),2,Less than high school,8,2015-2018,501,1695,29.6,8.4847,12.9,46.2,28.7,2,,,,,*,1,14,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,CANADA,0,adults aged 18+ years,1,both sexes,1,Employment,3,Employed ,16,2015-2018,5594168,20700978,27,0.2198,26.6,27.5,0.8,3,26.7,0.212513386,26.2,27.1,0.8,3,31198,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,CANADA,0,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,1039740,3869034,26.9,0.5371,25.8,27.9,2,3,29.7,0.60658074,28.5,30.9,2,3,5929,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Eastern Regional,1011,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,55113,141698,38.9,1.7048,35.5,42.2,4.4,3,38.6,1.949061532,34.7,42.4,5,3,364,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Eastern Regional,1011,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,18548,43490,42.6,2.9879,36.8,48.5,7,3,43.8,3.25814621,37.4,50.2,7.4,3,165,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Central Regional,1012,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,14087,32732,43,3.2222,36.7,49.4,7.5,3,41.4,2.972658961,35.6,47.3,7.2,3,227,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Central Regional,1012,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,6155,14931,41.2,3.6648,34,48.4,8.9,3,42.4,3.995553364,34.6,50.3,9.4,3,118,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Western Regional,1013,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,14967,29798,50.2,3.0589,44.2,56.2,6.1,3,48.7,2.924381348,42.9,54.4,6,3,215,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Western Regional,1013,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,5856,14396,40.7,4.0481,32.7,48.6,10,3,41.3,4.080853443,33.3,49.3,9.9,3,117,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Labrador-Grenfell Regional,1014,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,7647,16600,46.1,2.2054,41.7,50.4,4.8,3,47,2.581542133,42,52.1,5.5,3,227,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Labrador-Grenfell Regional,1014,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,2338,4901,47.7,3.8918,40.1,55.3,8.2,3,48.7,4.159305874,40.6,56.9,8.5,3,94,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Prince Edward Island,1100,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,22919,69655,32.9,1.4002,30.2,35.7,4.3,3,33.3,1.408721544,30.5,36,4.2,3,533,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Prince Edward Island,1100,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,4687,15428,30.4,2.5637,25.4,35.4,8.4,3,31.4,2.660863524,26.2,36.6,8.5,3,145,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 1 - Western,1201,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,33081,83704,39.5,2.0065,35.6,43.5,5.1,3,38.2,2.135207973,34,42.4,5.6,3,384,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 1 - Western,1201,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,8728,22344,39.1,4.2068,30.8,47.3,10.8,3,42,3.914039209,34.3,49.6,9.3,3,118,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 2 - Northern,1202,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,21818,58308,37.4,2.4245,32.7,42.2,6.5,3,34.9,2.284120539,30.5,39.4,6.5,3,315,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 2 - Northern,1202,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,7880,18012,43.8,3.8171,36.3,51.2,8.7,3,46.9,3.675589802,39.7,54.1,7.8,3,117,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 3 - Eastern,1203,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,20874,56121,37.2,2.6282,32,42.4,7.1,3,36.7,2.502416924,31.8,41.6,6.8,3,272,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 3 - Eastern,1203,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,10155,24017,42.3,3.1312,36.1,48.4,7.4,3,42.9,3.63773496,35.7,50,8.5,3,143,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 4 - Central,1204,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,65071,222812,29.2,1.577,26.1,32.3,5.4,3,30.1,1.502093826,27.1,33,5,3,435,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 4 - Central,1204,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,16879,51192,33,3.1217,26.8,39.1,9.5,3,34.8,3.219713548,28.5,41.1,9.3,3,120,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 1 (Moncton area),1301,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,39055,102199,38.2,2.2514,33.8,42.6,5.9,3,37.5,2.302025723,33,42,6.1,3,214,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 1 (Moncton area),1301,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,6926,18549,37.3,5.2888,27,47.7,14.2,3,36.7,5.57355501,25.8,47.6,15.2,2,42,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 2 (Saint John area),1302,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,29334,79159,37.1,2.5045,32.1,42,6.8,3,36.2,2.209828344,31.9,40.5,6.1,3,222,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 2 (Saint John area),1302,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,6241,17688,35.3,5.2907,24.9,45.7,15,3,42.4,5.125666532,32.3,52.4,12.1,3,55,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 3 (Fredericton area),1303,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,29802,76797,38.8,2.6222,33.7,44,6.8,3,37.9,2.921983382,32.1,43.6,7.7,3,218,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 3 (Fredericton area),1303,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,6712,20228,33.2,4.3364,24.7,41.7,13.1,3,35.2,4.600977233,26.2,44.2,13.1,3,53,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 4 (Edmundston area),1304,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,7681,19361,39.7,3.7564,32.3,47,9.5,3,37.4,4.258181271,29,45.7,11.4,3,109,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 4 (Edmundston area),1304,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,1736,5300,32.8,7.019,19,46.5,21.4,2,30.6,6.411501479,18,43.1,21,2,29,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 5 (Campbellton area),1305,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,3818,9629,39.7,5.6227,28.6,50.7,14.2,3,39.4,5.343254256,28.9,49.9,13.6,3,79,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 5 (Campbellton area),1305,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,1334,3242,41.1,7.3846,26.7,55.6,17.9,2,39.6,6.900447885,26.1,53.1,17.4,2,40,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 6 (Bathurst area),1306,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,9321,26822,34.7,3.4578,28,41.5,10,3,32.5,3.79728302,25.1,40,11.7,3,106,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 6 (Bathurst area),1306,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,4473,11853,37.7,4.4984,28.9,46.6,11.9,3,33.6,4.897606875,24,43.2,14.6,3,59,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 7 (Miramichi area),1307,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,6800,15184,44.8,3.804,37.3,52.2,8.5,3,43.7,3.652336579,36.5,50.8,8.4,3,116,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 7 (Miramichi area),1307,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,2884,6148,46.9,6.1691,34.8,59,13.2,3,46.6,6.12432306,34.6,58.6,13.1,3,47,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Bas-Saint-Laurent,2401,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,18761,80465,23.3,1.811,19.8,26.9,7.8,3,22.8,1.826601268,19.3,26.4,8,3,220,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Bas-Saint-Laurent,2401,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,7868,21653,36.3,4.3495,27.8,44.9,12,3,38.3,4.189853102,30.1,46.6,10.9,3,82,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Saguenay - Lac-Saint-Jean,2402,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,28876,118193,24.4,1.6881,21.1,27.7,6.9,3,24.1,1.848395893,20.4,27.7,7.7,3,265,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Saguenay - Lac-Saint-Jean,2402,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,7751,26391,29.4,3.7608,22,36.7,12.8,3,30.9,3.425977744,24.2,37.6,11.1,3,83,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Capitale-Nationale,2403,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,82518,375881,22,1.2077,19.6,24.3,5.5,3,23.1,1.507163035,20.2,26.1,6.5,3,402,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Capitale-Nationale,2403,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,11221,46292,24.2,3.9576,16.5,32,16.3,2,25.2,3.529898282,18.3,32.1,14,3,65,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Mauricie et du Centre-du-Québec,2404,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,63732,222220,28.7,1.3362,26.1,31.3,4.7,3,29.9,1.50134254,27,32.9,5,3,364,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Mauricie et du Centre-du-Québec,2404,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,14543,47597,30.6,3.62,23.5,37.7,11.8,3,33.4,3.799753102,25.9,40.8,11.4,3,103,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Estrie,2405,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,61156,221507,27.6,1.7827,24.1,31.1,6.5,3,26.9,1.616570033,23.7,30.1,6,3,324,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Estrie,2405,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,10865,42282,25.7,3.2324,19.4,32,12.6,3,27.4,3.160780784,21.2,33.6,11.5,3,84,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Montréal,2406,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,193485,978647,19.8,1.1403,17.5,22,5.8,3,20.9,1.219500201,18.5,23.2,5.8,3,565,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Montréal,2406,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,46424,254099,18.3,1.9074,14.5,22,10.4,3,22.6,2.203909705,18.3,27,9.8,3,162,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Outaouais,2407,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,47165,189384,24.9,1.3744,22.2,27.6,5.5,3,26.5,1.708627227,23.1,29.8,6.4,3,379,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Outaouais,2407,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,10419,30803,33.8,3.7412,26.5,41.2,11.1,3,34.4,3.656452065,27.3,41.6,10.6,3,92,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Abitibi-Témiscamingue,2408,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,22975,66507,34.5,1.7509,31.1,38,5.1,3,32.9,1.846459754,29.2,36.5,5.6,3,348,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Abitibi-Témiscamingue,2408,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,5265,14007,37.6,4.6416,28.5,46.7,12.3,3,38.8,4.578013603,29.8,47.8,11.8,3,96,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Côte-Nord,2409,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,13263,37254,35.6,2.235,31.2,40,6.3,3,36.5,2.305466125,32,41,6.3,3,318,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Côte-Nord,2409,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,2113,6778,31.2,3.6872,23.9,38.4,11.8,3,31.6,4.423061004,22.9,40.2,14,3,60,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Nord-du-Québec,2410,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,2338,7464,31.3,2.892,25.7,37,9.2,3,31.9,2.599554608,26.8,37,8.1,3,163,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Nord-du-Québec,2410,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,362,1131,32.1,7.5869,17.2,46.9,23.7,2,36.5,6.908500739,23,50,18.9,2,28,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Gaspésie - Îles-de-la-Madeleine,2411,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,10051,35877,28,2.2517,23.6,32.4,8,3,26.6,2.258458028,22.2,31,8.5,3,214,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Gaspésie - Îles-de-la-Madeleine,2411,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,4839,11908,40.6,3.3831,34,47.3,8.3,3,41.5,3.941932322,33.8,49.2,9.5,3,119,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Chaudière-Appalaches,2412,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,44530,204215,21.8,1.6737,18.5,25.1,7.7,3,21.7,1.558224755,18.6,24.8,7.2,3,335,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Chaudière-Appalaches,2412,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,7592,26763,28.4,3.9624,20.6,36.1,14,3,31.1,3.758036411,23.7,38.5,12.1,3,69,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Laval,2413,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,51315,208676,24.6,1.4406,21.8,27.4,5.9,3,23.8,1.445377284,21,26.6,6.1,3,352,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Laval,2413,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,9946,40250,24.7,3.893,17.1,32.4,15.8,2,26.6,3.660120491,19.4,33.7,13.8,3,82,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Lanaudière,2414,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,67471,241329,28,1.7509,24.5,31.4,6.3,3,28.5,1.687515341,25.2,31.8,5.9,3,415,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Lanaudière,2414,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,10768,41427,26,3.8005,18.5,33.5,14.6,3,25.9,3.549099582,19,32.9,13.7,3,81,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région des Laurentides,2415,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,66329,286092,23.2,1.2493,20.7,25.6,5.4,3,23.6,1.522879785,20.6,26.6,6.5,3,353,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région des Laurentides,2415,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,13376,51677,25.9,3.4659,19.1,32.7,13.4,3,26.4,3.196850336,20.1,32.7,12.1,3,90,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Montérégie,2416,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,196363,681040,28.8,1.3662,26.2,31.5,4.7,3,28.4,1.325852341,25.8,31,4.7,3,617,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Montérégie,2416,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,28629,108969,26.3,2.9834,20.4,32.1,11.4,3,28.9,2.987571982,23.1,34.8,10.3,3,119,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,The District of Algoma HU,3526,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,14022,43347,32.3,2.5279,27.4,37.3,7.8,3,32.1,2.729214287,26.8,37.5,8.5,3,171,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,The District of Algoma HU,3526,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,5935,13321,44.6,6.214,32.4,56.7,13.9,3,47.1,5.103737665,37.1,57.1,10.8,3,58,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Brant County HU,3527,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,18437,61236,30.1,2.408,25.4,34.8,8,3,31.1,2.435469138,26.4,35.9,7.8,3,201,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Brant County HU,3527,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,5452,13605,40.1,5.5876,29.1,51,13.9,3,42.5,5.367254114,32,53,12.6,3,53,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Durham Regional HU,3530,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,98793,322629,30.6,2.0872,26.5,34.7,6.8,3,29.6,1.94039933,25.8,33.4,6.6,3,329,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Durham Regional HU,3530,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,15138,70258,21.5,3.7487,14.2,28.9,17.4,2,26.7,3.790898376,19.3,34.2,14.2,3,81,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Elgin-St Thomas HU,3531,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,13649,37787,36.1,2.4739,31.3,41,6.8,3,35.7,2.777249609,30.3,41.2,7.8,3,188,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Elgin-St Thomas HU,3531,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,3627,9743,37.2,5.6434,26.2,48.3,15.2,2,39.5,5.822972594,28.1,50.9,14.7,3,54,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Grey Bruce HU,3533,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,24201,67315,36,2.418,31.2,40.7,6.7,3,35.7,2.999801183,29.8,41.6,8.4,3,221,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Grey Bruce HU,3533,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,5068,15916,31.8,4.5671,22.9,40.8,14.3,3,36,4.771716105,26.6,45.3,13.3,3,62,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Haldimand-Norfolk HU,3534,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,14547,51688,28.1,1.8569,24.5,31.8,6.6,3,28.1,2.27517152,23.6,32.6,8.1,3,181,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Haldimand-Norfolk HU,3534,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,2555,10259,24.9,5.7864,13.5,36.3,23.2,2,26.4,5.087198692,16.4,36.4,19.3,2,34,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,"Haliburton, Kawartha, Pine Ridge District HU",3535,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,28704,77291,37.1,3.127,31,43.3,8.4,3,37,2.991305073,31.2,42.9,8.1,3,174,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,"Haliburton, Kawartha, Pine Ridge District HU",3535,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,4916,18323,26.8,3.9996,19,34.7,14.9,3,29.9,4.379224004,21.4,38.5,14.6,3,51,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Halton Regional HU,3536,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,64940,282532,23,1.5446,20,26,6.7,3,23.1,1.666085776,19.8,26.4,7.2,3,298,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Halton Regional HU,3536,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,13472,52836,25.5,3.8831,17.9,33.1,15.2,2,26.1,4.36452667,17.5,34.6,16.7,2,54,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,City of Hamilton HU,3537,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,66662,252463,26.4,2.0736,22.3,30.5,7.9,3,26.8,1.910129985,23.1,30.6,7.1,3,279,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,City of Hamilton HU,3537,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,17678,66046,26.8,3.8744,19.2,34.4,14.5,3,28.8,3.49293266,21.9,35.6,12.1,3,88,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Hastings and Prince Edward Counties HU,3538,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,23924,66772,35.8,2.9629,30,41.6,8.3,3,36.2,2.848588719,30.6,41.8,7.9,3,183,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Hastings and Prince Edward Counties HU,3538,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,6877,17802,38.6,4.3326,30.1,47.1,11.2,3,41.6,4.671393421,32.5,50.8,11.2,3,67,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Huron County HU,3539,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,8429,25276,33.3,2.8707,27.7,39,8.6,3,34,2.845523459,28.4,39.6,8.4,3,173,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Huron County HU,3539,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,2101,5545,37.9,5.5361,27,48.8,14.6,3,36.1,4.944313946,26.4,45.8,13.7,3,56,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Chatham-Kent HU,3540,adults aged 18+ years,1,both sexes,1,Employment,3,Employed,16,2015-2018,15960,42546,37.5,2.9139,31.8,43.2,7.8,3,38.4,2.862555923,32.8,44,7.5,3,198,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Chatham-Kent HU,3540,adults aged 18+ years,1,both sexes,1,Employment,3,Unemployed,15,2015-2018,5393,12109,44.5,5.0154,34.7,54.4,11.3,3,46.2,4.989507245,36.4,56,10.8,3,77,
